OBJECTID,Address,Property_Type,Property_Uses,Site_EUI,GHG_Intensity,ShapeSTArea,ShapeSTLength,Reported,Property_Name,Gross_Sq_Ft,EnergyStar_Score,EnergyStar_Certified,Year_Built,GHG_Emissions,Site_Energy_Use,Water_Intensity,OnSite_Solar,Owner_Submitted_Link,ZIP,Tax_Parcel,Pct_Electricity,Pct_Gas,Pct_Steam,Owner_Submitted_Info,Years_Reported
1,One Boston Place,Office,Office,86,7.1,27427.2661132812,710.571940725059,Yes,One Boston Place,844203,83,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",1970,5957.3,72566952.6,8.94808476,,,02108,0302870000,0.51734806,0.00031868,48%,,"2014, 2015, 2016"
2,1 COURTHOUSE WAY,Courthouse,"Courthouse, Parking",82.5,6.7,86702.640625,1774.2938426894,Yes,MA0050ZZ - MOAKLEY COURTHOUSE,915346,58,,1998,6169,75537346.4,12.03949108,,,02109,0602671010,0.6544454,0.34555441,,,"2014, 2015, 2016"
3,601 Congress Street,Financial Office,"Data Center, Financial Office, Parking",60.8,-0.5735843,47969.8232421875,893.586405314783,Yes,John Hancock - 601 Congress Street,525642,97,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006",2004,3054,31955665.1,11.89554868,,,02210,0602678701,0.9721938,0.02597074,,LEED project ID - 1000005675,"2014, 2015, 2016"
4,200 Clarendon Street,Office,"Data Center, Office, Parking",95.7,7.9,46913.93359375,956.548298505218,Yes,200 Clarendon St.,2254776.5,75,"2009, 2008, 2007, 2006, 2005",1976,17824.5,215787140.8,12.68192213,,,02116,0401134000,0.53395416,,47%,,"2014, 2015, 2016"
5,200 Berkeley St &&,Financial Office,Financial Office,43.7,4.2,130755.048339844,1567.42520880056,Yes,Clarendon and Berkeley Buildings,1624928,94,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005",1922,6868.5,71006892.6,8585.71475167,,,02116,0401115000,0.99952285,,0%,LEED-EBOM Project #1000006167,"2014, 2015, 2016"
6,99 High Street,Office,"Bank Branch, Office, Other - Restaurant/Bar, Parking",79.7,6.2,24826.5197753906,623.888964540814,Yes,99 High Street,731205,88,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",1969,4533.7,58310014.5,13.12395293,,,02110,0304390000,0.56465859,0.43534142,,,"2014, 2015, 2016"
7,260 Franklin Street,Office,"Office, Parking",62.2,6,16482.0100097656,518.353071661247,Yes,260 Franklin Street,372562,83,"2016, 2015, 2012, 2011, 2010, 2007",1984,2241.5,23169630.4,14.10261916,,,02110,0304023000,0.99999996,,,,"2014, 2015, 2016"
8,,,,,,20079.1547851562,600.553381727132,No,670 ALBANY ST,,,,,,,,,,02119,,,,,,"2014, 2015"
9,20 Custom House,Office,Office,162,15.7,17591.4567871094,700.15584840328,Yes,20 Custom House,96032,17,,1984,1505.3,15559409.5,25.77161779,,,02110,0303998000,0.99999998,,,,"2014, 2015, 2016"
10,,,,,,14749.6359863281,521.246702360969,No,89 SOUTH ST,,,,,,,,,,02111,,,,,,2015
