PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_ADDRESS,MAIL CS,MAIL_ZIPCODE,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,Berdo_Address,ZIP,EUI
0601166070_,nan,0601166070_,10,NECCO,ST,nan,02127_,336,C,N,MEPT NECCO STREET GARAGE LLC,C/O BENTALL KENNEDY U.S.,"7315 WISCONSIN AVE, SUITE 20",BETHESDA MD,20814_,23208000,11315000,34523000,87609851,84840,1994,nan,160180,160180,6,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10 Necco Street,2038,5.1
0302720000_,nan,0302720000_,1,BEACON,ST,nan,02108_,348,C,N,OBS REIT LLC,C/O METROPOLITAN LIFE INSURA,10 PARK AV,MORRISTOWN NJ,07962_,79969200,343233300,423202500,1073664743,59106,1973,2008,1289220,1258404,38,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Beacon Street,2108,98.2
0302713000_,nan,0302713000_,1,CENTER,PZ,nan,02108_,347,C,N,SRI TEN CENTER PLAZA LLC,C/O SHORENSTEIN RLTY SERVICE,THREE CENTER PZ 9TH FL,BOSTON MA,02108_,33240800,49523700,82764500,209973537,36720,1966,2009,287200,236000,9,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Center Plaza,2108,69
0202980000_,nan,0202980000_,10,TREMONT,ST,nan,02129_,105,R3,Y,VIDAL EILEEN,C/O VIDAL-KILLORAN TS,10 TREMONT ST,CHARLESTOWN MA,02129_,296200,618900,915100,969090,3007,1870,0,6706,4630,3,R,RE,F,P,18,6,3,0,N,N,N,3,N,N,N,W,N,0,A,A,F,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10 Tremont Street,2108,63
0304692051_,nan,0304692000_,14,BEACON,ST,nan,02108_,985,E,N,AMERICAN CONGREGATIONAL ASSN, ,14 BEACON ST,BOSTON MA,02108_,400,12653600,12654000,0,nan,1890,nan,1,1,nan,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14 Beacon Street,2108,51.4
1809331000_,nan,1809331000_,15,A,ST,nan,02136_,390,CL,N,MUSTO LUIGI TS, ,50 MARGIN ST,HYDE PARK MA,02136_,54100,0,54100,137252,4520,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15 A BEACON ST,2108,282.8
0302814000_,nan,0302814000_,20,ASHBURTON,PL,nan,02108_,346,C,N,FAROS 20 ASHBURTON LLC,C/O FAROS 20 ASHBURTON LLC ,20 ASHBURTON PL,BOSTON MA,02108_,2968900,5927100,8896000,22569152,7285,1968,2015,56565,50962,9,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20 Ashburton Place,2108,26.2
0302782000_,nan,0302782000_,20,SOMERSET,ST,nan,02114_,986,E,N,SUFFOLK UNIVERSITY,C/O SUFFOLK  UNIVERSITY,8 ASHBURTON  PL,BOSTON    MA,02108_,8395200,0,8395200,0,13500,0,nan,0,0,9,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20 Somerset Street,2108,72.1
0302807004_,0302807000_,0302807000_,21,BEACON,ST,G-5,02108_,357,CC,N,BEACON  STREET  RESTAURANT,C/O REMF COPR ,60 WELLS AVE  SUITE 100,NEWTON    MA,02459_,0,1110000,1110000,2816070,3328,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21 Beacon Street,2108,163.9
0304770000_,nan,0304770000_,30,WINTER,ST,nan,02108_,346,C,N,TFC 30 WINTER LLC,C/O ATLAS COMMERCIAL RE LLC,41-55 NORTH RD,BEDFORD MA,01730_,8087600,17309400,25397000,64432189,9476,1972,2007,103932,97569,12,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30 Winter Street,2108,61.4
